BFS_NR_GEMEINDE;GEMEINDE_NAME;Jahr;Abschoepfung_in_CHF;Auszahlung_Mindestausstattung_in_CHF;Lastenausgleich_Sozialhilfe_in_CHF;Lastenausgleich_Flaeche_in_CHF;Lastenausgleich_Besondere_Belastungen_in_CHF;Auszahlung_Abschoepfung_in_CHF
4816;Homburg;2016; ;; ;-347300;;-347300
4421;Horn;2016;235190;; ; ;;235190
4590;Hüttlingen;2016; ;-143707; ;-94382;;-238089
4821;Hüttwilen;2016; ;; ;-67016;;-67016
4666;Kemmental;2016; ;; ;-326387;;-326387
4426;Kesswil;2016;1232;; ; ;;1232
4501;Kradolf-Schönenberg;2016; ;-499626; ; ;;-499626
4671;Kreuzlingen;2016;67980;;-1547928; ;;-1479948
4681;Langrickenbach;2016; ;-315952;-40768;-146510;;-503230
4683;Lengwil;2016; ;; ; ;;
4741;Lommis;2016; ;; ;-14088;;-14088
4826;Mammern;2016;58265;; ;-17969;;40296
4941;Märstetten;2016; ;; ; ;;
4591;Matzingen;2016; ;;; ;;
4831;Müllheim;2016; ;; ; ;;
4746;Münchwilen;2016; ;; ; ;;
4691;Münsterlingen;2016;202430;; ; ;;202430
4601;Neunforn;2016;43609;; ;-44022;;-413
4841;Pfyn ;2016; ;; ;-44436;;-44436
4846;Raperswilen;2016; ;-42907; ;-100188;;-143095
4751;Rickenbach;2016; ;;-154896; ;;-154896
4431;Roggwil;2016;16745;; ; ;;16745
4436;Romanshorn;2016; ;-242269; ; ;;-242269
4851;Salenstein;2016;587722;;-10248; ;;577474
4441;Salmsach;2016; ;-352883; ; ;;-352883
4546;Schlatt ;2016; ;-14494; ;-56822;;-71315
4756;Schönholzerswilen;2016; ;-222708; ;-128982;;-351690
4761;Sirnach ;2016; ;; ; ;;
4446;Sommeri;2016; ;-145444; ;-44252;;-189696
4864;Steckborn;2016; ;; ; ;;
4606;Stettfurt;2016;65457;; ; ;;65457
4506;Sulgen;2016; ;-54956; ; ;;-54956
4696;Tägerwilen;2016;183688;; ; ;;183688
4611;Thundorf;2016; ;; ;-178054;;-178054
4776;Tobel-Tägerschen;2016; ;-246687; ; ;;-246687
4616;Uesslingen-Buch;2016; ;; ;-191082;;-191082
4451;Uttwil;2016;88104;; ; ;;88104
4871;Wagenhausen ;2016; ;-172216; ;-24035;;-196251
4701;Wäldi ;2016; ;; ;-119255;;-119255
4781;Wängi ;2016; ;; ; ;;
4621;Warth-Weiningen ;2016;277766;; ; ;;277766
4946;Weinfelden;2016;-9096;; ; ;;-9096
4951;Wigoltingen ;2016; ;; ;-108974;;-108974
4786;Wilen;2016; ;; ; ;;
4791;Wuppenau;2016; ;-141176; ;-153272;;-294448
4511;Zihlschlacht-Sitterdorf ;2016;492010;; ; ;;492010
4551;Aadorf;2015; ;; ; ;;
4711;Affeltrangen;2015; ;-314948; ; ;;-314948
4641;Altnau;2015; ;; ; ;;
