BFS_NR_GEMEINDE;GEMEINDE_NAME;Jahr;Abschoepfung_in_CHF;Auszahlung_Mindestausstattung_in_CHF;Lastenausgleich_Sozialhilfe_in_CHF;Lastenausgleich_Flaeche_in_CHF;Lastenausgleich_Besondere_Belastungen_in_CHF;Auszahlung_Abschoepfung_in_CHF
4701;Wäldi ;2012; ;-29691; ;-183632;;-213323
4781;Wängi ;2012; ; ; ; ;;
4621;Warth-Weiningen ;2012;147800; ; ; ;;147800
4946;Weinfelden;2012;181218; ; ; ;;181218
4951;Wigoltingen ;2012; ;-40073; ;-149868;;-189941
4786;Wilen;2012; ; ; ; ;;
4791;Wuppenau;2012; ;-190543; ;-171143;-100000;-461686
4511;Zihlschlacht-Sitterdorf ;2012;15125; ; ; ;;15125
4551;Aadorf;2011;3380; ; ; ;;3380
4711;Affeltrangen;2011; ;-134153; ; ;;-134153
4641;Altnau;2011;1628; ; ; ;;1628
4881;Amlikon-Bissegg;2011; ;-87312; ;-202699;-20000;-310011
4461;Amriswil;2011; ;-3325929; ; ;;-3325929
4401;Arbon;2011; ;-1228916;-756672; ;;-1985588
4536;Basadingen-Schlattingen;2011; ; ; ;-194810;;-194810
4891;Berg;2011; ; ; ; ;; 
4801;Berlingen;2011;35411; ; ; ;;35411
4716;Bettwiesen;2011; ; ; ; ;; 
4721;Bichelsee-Balterswil ;2011; ; ; ; ;; 
4901;Birwinken;2011; ;-393099; ;-149270;-20000;-562369
4471;Bischofszell;2011; ; ;-349568; ;;-349568
4643;Bottighofen;2011;690837; ;-16768; ;;674069
4723;Braunau;2011; ;-123917; ;-141795;;-265712
4911;Bürglen ;2011; ; ; ; ;; 
4921;Bussnang;2011;81644; ; ;-194028;;-112384
4545;Diessenhofen;2011;49784; ;-54320; ;;-4536
4406;Dozwil;2011; ;-36544; ; ;;-36544
4411;Egnach;2011; ; ; ; ;; 
4476;Erlen;2011; ;-94804;-25408; ;;-120212
4646;Ermatingen;2011;229587; ; ; ;;229587
4806;Eschenz;2011; ;-136031; ;-38295;;-174326
4724;Eschlikon;2011;11624; ; ; ;;11624
4561;Felben-Wellhausen;2011; ; ; ; ;; 
4726;Fischingen;2011; ;-251260;-41296;-415541;-250000;-958097
4566;Frauenfeld ;2011;584907; ;-1110144; ;;-525237
4571;Gachnang;2011;21339; ; ; ;;21339
4651;Gottlieben;2011;53166; ; ; ;;53166
4656;Güttingen;2011; ; ; ; ;; 
4486;Hauptwil-Gottshaus;2011; ;-229733; ; ;-120000;-349733
4416;Hefenhofen;2011; ;-255420; ; ;;-255420
4811;Herdern;2011; ;-17993; ;-196029;;-214022
4495;Hohentannen;2011; ;-132011; ;-111320;-20000;-263331
4816;Homburg;2011; ;-25296; ;-342240;-200000;-567536
4421;Horn;2011;182247; ; ; ;;182247
4590;Hüttlingen;2011; ;-137805; ;-169947;;-307752
4821;Hüttwilen;2011;20905; ; ;-240856;;-219951
4666;Kemmental;2011; ; ; ;-367885;;-367885
4426;Kesswil;2011; ; ; ; ;; 
4501;Kradolf-Schönenberg;2011; ;-531176; ; ;;-531176
4671;Kreuzlingen;2011; ; ; ; ;; 
4681;Langrickenbach;2011; ;-262294; ;-128685;-20000;-410979
4683;Lengwil;2011;5479; ; ; ;;5479
4741;Lommis;2011;12333; ; ;-50646;;-38313
4826;Mammern;2011;45636; ; ;-67160;;-21524
4941;Märstetten;2011; ; ;-59520; ;;-59520
4591;Matzingen;2011; ;-39705;; ;;-39705
4831;Müllheim;2011; ; ; ; ;; 
4746;Münchwilen;2011; ; ; ; ;; 
4691;Münsterlingen;2011;129015; ; ; ;;129015
4601;Neunforn;2011;27809; ; ;-155848;;-128039
4841;Pfyn ;2011; ;-92207; ; ;-50000;-142207
4846;Raperswilen;2011; ;-73102; ;-100188;;-173290
4751;Rickenbach;2011; ; ;-217360; ;;-217360
4431;Roggwil;2011;72331; ; ; ;;72331
4436;Romanshorn;2011; ; ; ; ;-140000;-140000
4851;Salenstein;2011;358441; ; ; ;;358441
4441;Salmsach;2011; ;-180009; ; ;;-180009
4546;Schlatt ;2011; ;-66442; ;-184115;;-250557
4756;Schönholzerswilen;2011; ;-271537; ;-158355;;-429892
4761;Sirnach ;2011; ; ; ; ;; 
4446;Sommeri;2011; ;-163288; ;-35604;;-198892
4864;Steckborn;2011; ; ;-195832; ;;-195832
4606;Stettfurt;2011;42267; ; ; ;;42267
4506;Sulgen;2011; ; ; ; ;; 
4696;Tägerwilen;2011;106450; ; ; ;;106450
4611;Thundorf;2011; ; ; ;-240488;;-240488
4776;Tobel-Tägerschen;2011; ;-141102; ; ;;-141102
4616;Uesslingen-Buch;2011; ; ; ;-195040;;-195040
4451;Uttwil;2011;17913; ;-14008; ;;3905
4871;Wagenhausen ;2011; ;-75850; ;-37237;;-113087
4701;Wäldi ;2011; ;-91890; ;-181608;;-273498
4781;Wängi ;2011; ; ; ; ;; 
4621;Warth-Weiningen ;2011;141386; ; ; ;;141386
4946;Weinfelden;2011;241358; ; ; ;;241358
4951;Wigoltingen ;2011; ; ; ;-99130;;-99130
4786;Wilen;2011; ; ; ; ;; 
4791;Wuppenau;2011; ;-172897; ;-166635;-100000;-439532
4511;Zihlschlacht-Sitterdorf ;2011;37505; ; ; ;;37505
4551;Aadorf;2010; ; ; ; ;; 
4711;Affeltrangen;2010; ;-217589; ; ;;-217589
4641;Altnau;2010;594; ; ; ;;
4881;Amlikon-Bissegg;2010; ;-188275; ;-181720;-20000;-389995
4461;Amriswil;2010; ;-3534302; ; ;;-3534302
4401;Arbon;2010; ;-1104618;-268600; ;;-1373218
4536;Basadingen-Schlattingen;2010; ;-6201; ;-169900;;-176101
4891;Berg;2010; ; ; ; ;; 
4801;Berlingen;2010;37574; ; ; ;;37574
4716;Bettwiesen;2010; ; ; ; ;; 
4721;Bichelsee-Balterswil ;2010; ; ; ; ;; 
4901;Birwinken;2010; ;-343894; ;-129600;-20000;-493494
4471;Bischofszell;2010; ; ;-249120; ;;-249120
4643;Bottighofen;2010;683089; ;-10395; ;;672694
4723;Braunau;2010; ;-160178; ;-121860;;-282038
4911;Bürglen ;2010; ; ; ; ;; 
4921;Bussnang;2010;78037; ; ;-166320;;-88283
4545;Diessenhofen;2010;28514; ;-49710; ;;-21196
4406;Dozwil;2010; ;-71683; ; ;;-71683
4411;Egnach;2010; ; ; ; ;; 
4476;Erlen;2010; ;-170858;-47025; ;;-217883
4646;Ermatingen;2010;257221; ; ; ;;257221
4806;Eschenz;2010; ;-73234; ;-33100;;-106334
4724;Eschlikon;2010; ; ; ; ;; 
4561;Felben-Wellhausen;2010; ; ; ; ;; 
4726;Fischingen;2010; ;-306159;-128100;-358680;-230000;-1022939
4566;Frauenfeld ;2010;536855; ;-571950; ;;-35095
4571;Gachnang;2010; ; ; ; ;; 
4651;Gottlieben;2010;58839; ; ; ;;58839
4656;Güttingen;2010; ; ; ; ;; 
4486;Hauptwil-Gottshaus;2010; ;-232838; ; ;-120000;-352838
4416;Hefenhofen;2010; ;-280663; ; ;;-280663
4811;Herdern;2010; ;-106635; ;-176580;;-283215
4495;Hohentannen;2010; ;-159784; ;-94880;-30000;-284664
4816;Homburg;2010; ;-115504; ;-292600;-200000;-608104
4421;Horn;2010;143939; ; ; ;;143939
4590;Hüttlingen;2010; ;-106982; ;-149220;;-256202
4821;Hüttwilen;2010;13285; ; ;-203000;;-189715
4666;Kemmental;2010; ;-21621; ;-312060;;-333681
4426;Kesswil;2010; ; ; ; ;; 
4501;Kradolf-Schönenberg;2010; ;-549458; ; ;;-549458
4671;Kreuzlingen;2010;184938; ;-189330; ;;-4392
4681;Langrickenbach;2010; ;-345918; ;-110800;-20000;-476718
4683;Lengwil;2010;20735; ; ; ;;20735
4741;Lommis;2010; ; ; ;-43440;;-43440
4826;Mammern;2010;55913; ; ;-58400;;-2487
4941;Märstetten;2010; ; ;-49080; ;;-49080
4591;Matzingen;2010; ;-145981;; ;;-145981
4831;Müllheim;2010; ; ; ; ;; 
4746;Münchwilen;2010; ; ; ; ;; 
4691;Münsterlingen;2010;114512; ; ; ;;114512
4601;Neunforn;2010;41666; ; ;-138040;;-96374
4841;Pfyn ;2010; ;-68428; ; ;-150000;-218428
4846;Raperswilen;2010; ;-55014;-14070;-88440;-40000;-197524
4751;Rickenbach;2010; ; ;-138050; ;;-138050
4431;Roggwil;2010;80611; ; ; ;;80611
4436;Romanshorn;2010; ; ; ; ;-140000;-140000
4851;Salenstein;2010;316143; ; ; ;;316143
4441;Salmsach;2010; ;-221357;-58320; ;;-279677
4546;Schlatt ;2010; ;-64360; ;-160100;;-224460
4756;Schönholzerswilen;2010; ;-303111; ;-138600;;-441711
4761;Sirnach ;2010; ; ; ; ;; 
4446;Sommeri;2010; ;-164854; ;-31080;;-195934
4864;Steckborn;2010; ; ;-17305; ;;-17305
4606;Stettfurt;2010;47615; ; ; ;;47615
4506;Sulgen;2010; ; ; ; ;; 
4696;Tägerwilen;2010;130365; ; ; ;;130365
4611;Thundorf;2010; ; ; ;-207360;;-207360
4776;Tobel-Tägerschen;2010; ;-122682; ; ;;-122682
4616;Uesslingen-Buch;2010; ;-6575; ;-168320;;-174895
4451;Uttwil;2010;16826; ;-25665; ;;-8839
4871;Wagenhausen ;2010; ; ; ;-32060;;-32060
4701;Wäldi ;2010; ;-134481; ;-159680;;-294161
4781;Wängi ;2010; ; ; ; ;; 
4621;Warth-Weiningen ;2010;147983; ; ; ;;147983
4946;Weinfelden;2010;217464; ; ; ;;217464
4951;Wigoltingen ;2010; ;-9447; ;-127380;;-136827
4786;Wilen;2010; ;-38139; ; ;;-38139
4791;Wuppenau;2010; ;-158357; ;-142940;-79100;-380397
4511;Zihlschlacht-Sitterdorf ;2010; ; ; ; ;; 
4551;Aadorf;2009; ; ; ; ;;
4711;Affeltrangen;2009; ;-329823; ; ;;-329823
4641;Altnau;2009; ; ; ; ;; 
4881;Amlikon-Bissegg;2009; ;-226056; ;-175140;-20000;-421196
4461;Amriswil;2009; ;-3420482; ; ;;-3420482
4401;Arbon;2009; ;-436983;-200145; ;;-637128
4536;Basadingen-Schlattingen;2009; ; ; ;-165700;;-165700
4891;Berg;2009; ; ; ; ;; 
4801;Berlingen;2009;41454; ;-4150; ;;37304
4716;Bettwiesen;2009; ; ; ; ;; 
4721;Bichelsee-Balterswil ;2009; ; ; ; ;; 
4901;Birwinken;2009; ;-349856;-6515;-130300;-30000;-516671
4471;Bischofszell;2009; ; ;-219080; ;;-219080
4643;Bottighofen;2009;674288; ; ; ;;674288
4723;Braunau;2009; ;-162462; ;-107680;;-270142
4911;Bürglen ;2009; ; ; ; ;; 
4921;Bussnang;2009;93193; ; ;-166320;;-73127
4545;Diessenhofen;2009;35787; ;-32310; ;;3477
4406;Dozwil;2009; ;-51942; ; ;;-51942
4411;Egnach;2009; ; ; ; ;; 
4476;Erlen;2009; ;-502303;-46395; ;;-548698
4646;Ermatingen;2009;241593; ; ; ;;241593
4806;Eschenz;2009; ;-63322; ;-32640;;-95962
4724;Eschlikon;2009; ; ; ; ;; 
4561;Felben-Wellhausen;2009; ; ; ; ;; 
4726;Fischingen;2009; ;-396240;-130000;-364000;-254000;-1144240
4566;Frauenfeld ;2009;574647; ;-451660; ;;122987
4571;Gachnang;2009; ; ; ; ;; 
4651;Gottlieben;2009;60202; ; ; ;;60202
4656;Güttingen;2009; ; ; ; ;; 
4486;Hauptwil-Gottshaus;2009; ;-348377; ; ;-190000;-538377
4416;Hefenhofen;2009; ;-353405; ; ;;-353405
4811;Herdern;2009; ;-10498; ;-171000;;-181498
4495;Hohentannen;2009; ;-213714; ;-99200;-30000;-342914
4816;Homburg;2009; ;-204132;-7155;-286200;-200000;-697487
4421;Horn;2009;130560; ; ; ;;130560
4590;Hüttlingen;2009; ;-129794; ;-134720;;-264514
4821;Hüttwilen;2009;8503; ; ;-200620;;-192117
4666;Kemmental;2009; ;-208451; ;-308980;;-517431
4426;Kesswil;2009; ; ; ; ;; 
4501;Kradolf-Schönenberg;2009; ;-606018;-32900; ;;-638918
4671;Kreuzlingen;2009;389637; ;-276495; ;;113142
4681;Langrickenbach;2009; ;-413960; ;-111700;-25000;-550660
4683;Lengwil;2009;40153; ; ; ;;40153
4741;Lommis;2009; ; ; ;-42720;;-42720
4826;Mammern;2009;51965; ; ;-57700;;-5735
4941;Märstetten;2009; ; ;; ;; 
4591;Matzingen;2009; ;-91897;; ;;-91897
4831;Müllheim;2009; ; ;-12865; ;;-12865
4746;Münchwilen;2009; ; ; ; ;; 
4691;Münsterlingen;2009;80933; ; ; ;;80933
4601;Neunforn;2009;33544; ; ;-133840;;-100296
4841;Pfyn ;2009; ;-54766; ; ;;-54766
4846;Raperswilen;2009; ;-71771;-20200;-88880;;-180851
4751;Rickenbach;2009; ; ;-137610; ;;-137610
4431;Roggwil;2009;70879; ; ; ;;70879
4436;Romanshorn;2009; ; ; ; ;-200000;-200000
4851;Salenstein;2009;256505; ; ; ;;256505
4441;Salmsach;2009; ;-270578;-70950; ;;-341528
4546;Schlatt ;2009; ; ; ;-159500;;-159500
4756;Schönholzerswilen;2009; ;-328639; ;-138780;;-467419
4761;Sirnach ;2009; ; ; ; ;; 
4446;Sommeri;2009; ;-168145; ;-30660;-10000;-208805
4864;Steckborn;2009; ; ; ; ;; 
4606;Stettfurt;2009;32485; ; ; ;;32485
4506;Sulgen;2009; ; ; ; ;; 
4696;Tägerwilen;2009;132273; ; ; ;;132273
4611;Thundorf;2009; ; ; ;-180880;;-180880
4776;Tobel-Tägerschen;2009; ;-42969; ; ;;-42969
4616;Uesslingen-Buch;2009; ; ; ;-166560;;-166560
4451;Uttwil;2009;14144; ;-16520; ;;-2376
4871;Wagenhausen ;2009; ; ; ; ;; 
4701;Wäldi ;2009; ;-198074; ;-155200;;-353274
4781;Wängi ;2009; ; ; ; ;; 
4621;Warth-Weiningen ;2009;166624; ; ; ;;166624
4946;Weinfelden;2009;209457; ; ; ;;209457
4951;Wigoltingen ;2009; ;-138557; ;-125580;;-264137
4786;Wilen;2009; ;-131353; ; ;;-131353
4791;Wuppenau;2009; ;-174110; ;-140980;-99100;-414190
4511;Zihlschlacht-Sitterdorf ;2009; ; ; ; ;-50000;-50000
4551;Aadorf;2008; ; ; ; ;; 
4711;Affeltrangen;2008; ;-307927; ; ;;-307927
4641;Altnau;2008; ; ; ; ;; 
4881;Amlikon-Bissegg;2008; ;-351490; ;-171220;-20000;-542710
4461;Amriswil;2008; ;-3554146; ; ;;-3554146
4401;Arbon;2008; ;-511602;-327950; ;;-839552
4536;Basadingen-Schlattingen;2008; ;-42898;-8395;-134320;;-185613
4891;Berg;2008; ; ; ; ;; 
4801;Berlingen;2008;33597; ;-12180; ;;21417
4716;Bettwiesen;2008; ;-25052; ; ;;-25052
4721;Bichelsee-Balterswil ;2008; ; ; ; ;; 
4901;Birwinken;2008; ;-367483; ;-126500;-30000;-523983
4471;Bischofszell;2008; ; ;-163980; ;;-163980
4643;Bottighofen;2008;626642; ; ; ;;626642
4723;Braunau;2008; ;-185041; ;-107680;;-292721
4911;Bürglen ;2008; ; ; ; ;; 
4921;Bussnang;2008;99096; ;-10170;-162720;;-73794
4545;Diessenhofen;2008;44025; ;-47400; ;;-3375
4406;Dozwil;2008; ;-66544; ; ;;-66544
4411;Egnach;2008; ; ; ; ;; 
4476;Erlen;2008; ;-578818;-46170; ;;-624988
4646;Ermatingen;2008;228989; ; ; ;;228989
4806;Eschenz;2008; ;-51403; ;-32380;;-83783
4724;Eschlikon;2008;10826; ; ; ;;10826
4561;Felben-Wellhausen;2008; ; ; ; ;; 
4726;Fischingen;2008; ;-360302;-102760;-359660;-253700;-1076422
4566;Frauenfeld ;2008;738069; ;-223130; ;;514939
4571;Gachnang;2008; ; ; ; ;; 
4651;Gottlieben;2008;51972; ; ; ;;51972
4656;Güttingen;2008; ; ; ; ;; 
4486;Hauptwil-Gottshaus;2008; ;-337695; ; ;-202000;-539695
4416;Hefenhofen;2008; ;-372721; ; ;;-372721
4811;Herdern;2008; ;-32915; ;-165960;;-198875
4495;Hohentannen;2008; ;-274910; ;-97120;-30000;-402030
4816;Homburg;2008; ;-293765;-7165;-286600;-200000;-787530
4421;Horn;2008;123398; ; ; ;;123398
4590;Hüttlingen;2008; ;-113539; ;-133920;;-247459
4821;Hüttwilen;2008;7672; ; ;-198240;;-190568
4666;Kemmental;2008; ;-186925; ;-308420;;-495345
4426;Kesswil;2008; ; ; ; ;; 
4501;Kradolf-Schönenberg;2008; ;-657789;-48225; ;;-706014
4671;Kreuzlingen;2008;553455; ;-271995; ;;281460
4681;Langrickenbach;2008; ;-373056; ;-109900;-25000;-507956
4683;Lengwil;2008;24249; ; ; ;;24249
4741;Lommis;2008; ; ; ;-41960;;-41960
4826;Mammern;2008;54128; ; ;-46800;;7328
4941;Märstetten;2008; ; ;; ;; 
4591;Matzingen;2008; ;-29074;; ;;-29074
4831;Müllheim;2008; ;-27206;-12480; ;;-39686
4746;Münchwilen;2008; ; ; ; ;; 
4691;Münsterlingen;2008;49970; ; ; ;;49970
4601;Neunforn;2008;15176; ; ;-130620;;-115444
4841;Pfyn ;2008; ;-107806; ; ;;-107806
4846;Raperswilen;2008; ;-65426;-13895;-87340;-40000;-206661
4751;Rickenbach;2008;18941; ;-134805; ;;-115864
4431;Roggwil;2008;48707; ; ; ;;48707
4436;Romanshorn;2008; ; ; ; ;; 
4851;Salenstein;2008;216717; ; ; ;;216717
4441;Salmsach;2008; ;-354895;-71775; ;;-426670
4546;Schlatt ;2008; ; ; ;-157400;;-157400
4756;Schönholzerswilen;2008; ;-311440; ;-135180;;-446620
4761;Sirnach ;2008; ; ; ; ;; 
4446;Sommeri;2008; ;-176684; ;-29820;;-206504
4864;Steckborn;2008; ; ; ; ;; 
4606;Stettfurt;2008;38382; ; ; ;;38382
4506;Sulgen;2008; ; ; ; ;; 
4696;Tägerwilen;2008;119465; ; ; ;;119465
4611;Thundorf;2008; ;-82427; ;-178220;;-260647
4776;Tobel-Tägerschen;2008; ; ; ; ;; 
4616;Uesslingen-Buch;2008; ;-15899; ;-167360;;-183259
4451;Uttwil;2008;9345; ;-8020; ;;1325
4871;Wagenhausen ;2008; ;-9534; ; ;;-9534
4701;Wäldi ;2008; ;-213840; ;-153600;;-367440
4781;Wängi ;2008; ; ; ; ;; 
4621;Warth-Weiningen ;2008;167612; ; ; ;;167612
4946;Weinfelden;2008;160371; ; ; ;;160371
4951;Wigoltingen ;2008; ;-297959;-21260;-85040;;-404259
4786;Wilen;2008; ;-133914; ; ;;-133914
4791;Wuppenau;2008; ;-175291; ;-141120;-99100;-415511
4511;Zihlschlacht-Sitterdorf ;2008; ;-197117; ; ;-50000;-247117
