BFS_NR_GEMEINDE;GEMEINDE_NAME;Jahr;Auszahlung_Abschoepfung_in_CHF;Auszahlung_Abschoepfung_in_CHF_pro_Einwohner;;;;;;
4591;Matzingen;2016;;;;;;;;
4831;Muellheim;2016;;;;;;;;
4746;Muenchwilen;2016;;;;;;;;
4691;Muensterlingen;2016;202430;64;;;;;;
4601;Neunforn;2016;-413;;;;;;;
4841;Pfyn;2016;-44436;-23;;;;;;
4846;Raperswilen;2016;-143095;-361;;;;;;
4751;Rickenbach;2016;-154896;-56;;;;;;
4431;Roggwil;2016;16745;6;;;;;;
4436;Romanshorn;2016;-242269;-23;;;;;;
4851;Salenstein;2016;577474;451;;;;;;
4441;Salmsach;2016;-352883;-252;;;;;;
4546;Schlatt;2016;-71315;-43;;;;;;
4756;Schoenholzerswilen;2016;-351690;-437;;;;;;
4761;Sirnach;2016;;;;;;;;
4446;Sommeri;2016;-189696;-365;;;;;;
4864;Steckborn;2016;;;;;;;;
4606;Stettfurt;2016;65457;56;;;;;;
4506;Sulgen;2016;-54956;-15;;;;;;
4696;Taegerwilen;2016;183688;42;;;;;;
4611;Thundorf;2016;-178054;-125;;;;;;
4776;Tobel-Taegerschen;2016;-246687;-159;;;;;;
4616;Uesslingen-Buch;2016;-191082;-176;;;;;;
4451;Uttwil;2016;88104;48;;;;;;
4871;Wagenhausen;2016;-196251;-117;;;;;;
4701;Waeldi;2016;-119255;-115;;;;;;
4781;Waengi;2016;;;;;;;;
4621;Warth-Weiningen;2016;277766;224;;;;;;
4946;Weinfelden;2016;-9096;-1;;;;;;
4951;Wigoltingen;2016;-108974;-46;;;;;;
4786;Wilen;2016;;;;;;;;
4791;Wuppenau;2016;-294448;-263;;;;;;
4511;Zihlschlacht-Sitterdorf;2016;492010;219;;;;;;
4551;Aadorf;2015;;;;;;;;
4711;Affeltrangen;2015;-314948;-129;;;;;;
4641;Altnau;2015;;;;;;;;
4881;Amlikon-Bissegg;2015;-323867;-250;;;;;;
4461;Amriswil;2015;-2748699;-216;;;;;;
4401;Arbon;2015;-1690558;-121;;;;;;
4536;Basadingen-Schlattingen;2015;-158152;-89;;;;;;
4891;Berg;2015;;;;;;;;
4801;Berlingen;2015;34487;41;;;;;;
4716;Bettwiesen;2015;3797;3;;;;;;
4721;Bichelsee-Balterswil;2015;;;;;;;;
4901;Birwinken;2015;-624772;-466;;;;;;
4471;Bischofszell;2015;;;;;;;;
4643;Bottighofen;2015;788490;373;;;;;;
4723;Braunau;2015;-148282;-196;;;;;;
4911;Buerglen;2015;-28536;-8;;;;;;
4921;Bussnang;2015;-56137;-25;;;;;;
4545;Diessenhofen;2015;-74487;-21;;;;;;
4406;Dozwil;2015;-48850;-72;;;;;;
4411;Egnach;2015;;;;;;;;
4476;Erlen;2015;-448920;-129;;;;;;
4646;Ermatingen;2015;278111;88;;;;;;
4806;Eschenz;2015;-61898;-37;;;;;;
4724;Eschlikon;2015;;;;;;;;
